Timestamp,Volt,Amp,Watt,Watt-Hour
1466089347,5.000,0.685,3.423,0.000
1466089348,5.000,0.685,3.423,0.000
1466089349,5.000,0.685,3.423,0.000
1466089350,5.000,0.685,3.423,0.000
1466089351,5.010,0.684,3.419,0.000
1466089352,5.000,0.686,3.427,0.000
1466089353,5.000,0.684,3.419,0.000
1466089354,5.000,0.684,3.419,0.000
1466089355,5.000,0.685,3.423,0.000
1466089356,5.000,0.684,3.419,0.000
1466089357,5.010,0.685,3.423,0.000
1466089358,5.010,1.700,8.458,0.000
1466089359,5.000,1.735,8.626,0.000
1466089360,5.000,1.775,8.824,0.000
1466089361,5.000,1.775,8.828,0.000
1466089362,5.000,1.778,8.843,0.000
1466089363,5.000,1.783,8.866,0.000
1466089364,5.000,1.807,8.984,0.000
1466089365,5.000,1.803,8.969,0.000
1466089366,5.000,1.802,8.969,0.000
1466089367,5.000,1.817,9.038,0.000
1466089368,5.000,1.826,9.080,0.000
1466089369,5.000,1.844,9.168,0.000
1466089370,5.000,1.852,9.213,0.000
1466089371,5.000,1.832,9.110,0.000
1466089372,5.000,1.833,9.114,0.000
1466089373,5.010,1.837,9.133,0.000
1466089374,5.000,1.839,9.141,0.000
1466089375,5.000,1.841,9.149,0.000
1466089376,5.000,1.873,9.309,0.000
1466089377,5.000,1.840,9.149,0.000
1466089378,5.000,1.850,9.198,0.000
1466089379,5.000,1.846,9.171,0.000
1466089380,5.000,1.858,9.233,0.000
1466089381,5.000,1.853,9.210,0.000
1466089382,5.000,1.869,9.290,0.000
1466089383,5.000,1.870,9.297,0.000
1466089384,5.000,1.851,9.198,0.000
1466089385,5.000,1.854,9.217,0.000
1466089386,5.000,1.886,9.374,0.000
1466089387,5.000,1.860,9.252,0.000
1466089388,5.000,1.898,9.435,0.000
1466089389,5.000,1.854,9.217,0.000
1466089390,5.000,1.883,9.358,0.000
1466089391,5.000,1.854,9.217,0.000
1466089392,5.000,1.908,9.484,0.000
1466089393,5.000,1.846,9.175,0.000
1466089394,5.000,1.877,9.332,0.000
1466089395,5.000,1.851,9.202,0.000
1466089396,5.000,1.900,9.442,0.000
1466089397,5.000,1.882,9.358,0.000
1466089398,5.000,1.880,9.343,0.000
1466089399,5.000,1.859,9.240,0.000
1466089400,5.000,1.858,9.236,0.000
1466089401,5.010,1.883,9.358,0.000
1466089402,5.000,1.886,9.378,0.000
1466089403,5.000,1.859,9.240,0.000
1466089404,5.000,1.892,9.408,0.000
1466089405,5.000,1.876,9.324,0.000
1466089406,5.010,1.889,9.385,0.000
1466089407,5.000,1.858,9.233,0.000
1466089408,5.000,1.886,9.374,0.000
1466089409,5.000,1.864,9.263,0.000
1466089410,5.000,1.877,9.328,0.000
1466089411,5.000,1.858,9.233,0.000
1466089412,5.000,1.859,9.240,0.000
1466089413,5.000,1.877,9.332,0.000
1466089414,5.000,1.896,9.420,0.000
1466089415,5.000,1.875,9.320,0.000
1466089416,5.000,1.867,9.278,0.000
1466089417,5.000,1.863,9.259,0.000
1466089418,5.000,1.858,9.233,0.000
1466089419,5.000,1.878,9.339,0.000
1466089420,5.000,1.861,9.248,0.000
1466089421,5.000,1.857,9.236,0.000
1466089422,5.010,1.872,9.301,0.000
1466089423,5.000,1.884,9.362,0.000
1466089424,5.000,1.882,9.355,0.000
1466089425,5.000,1.866,9.274,0.000
1466089426,5.000,1.865,9.267,0.000
1466089427,5.000,1.859,9.240,0.000
1466089428,5.000,1.875,9.320,0.000
1466089429,5.000,1.862,9.252,0.000
1466089430,5.000,1.861,9.248,0.000
1466089431,5.010,1.892,9.404,0.000
1466089432,5.000,1.877,9.328,0.000
1466089433,5.000,1.871,9.297,0.000
1466089434,5.000,1.871,9.301,0.000
1466089435,5.000,1.877,9.328,0.000
1466089436,5.000,1.888,9.385,0.000
1466089437,5.000,1.869,9.286,0.000
1466089438,5.010,1.867,9.278,0.000
1466089439,5.000,1.868,9.286,0.000
1466089441,5.000,1.880,9.343,0.000
1466089442,5.000,1.874,9.316,0.000
1466089443,5.000,1.871,9.305,0.000
1466089444,5.010,1.878,9.339,0.000
1466089445,5.000,1.897,9.427,0.000
1466089446,5.000,1.883,9.355,0.000
1466089447,5.000,1.870,9.294,0.000
1466089448,5.000,1.868,9.286,0.000
1466089449,5.000,1.868,9.282,0.000
1466089450,5.000,1.899,9.439,0.000
1466089451,5.000,1.904,9.462,0.000
1466089452,5.010,1.895,9.416,0.000
1466089453,5.000,1.892,9.404,0.000
1466089454,5.000,1.900,9.442,0.000
1466089455,5.000,1.898,9.435,0.000
1466089456,5.000,1.912,9.504,0.000
1466089457,5.010,1.894,9.416,0.000
1466089458,5.000,1.893,9.412,0.000
1466089459,5.000,1.895,9.420,0.000
1466089460,5.000,1.904,9.462,0.000
1466089461,5.000,1.901,9.446,0.000
1466089462,5.000,0.930,4.645,0.000
1466089463,5.000,0.889,4.435,0.000
1466089464,5.000,0.896,4.469,0.000
1466089465,5.000,0.865,4.320,0.000
1466089466,5.000,0.889,4.442,0.000
1466089467,5.000,0.852,4.255,0.000
1466089468,5.000,0.851,4.248,0.000
1466089469,5.000,0.709,3.542,0.000
1466089470,5.000,0.728,3.637,0.000
1466089471,5.000,0.703,3.515,0.000
