Timestamp,A7_Volt,A7_Amp,A7_Watt,A15_Volt,A15_Amp,A15_Watt,GPU_Volt,GPU_Amp,GPU_Watt,Mem_Volt,Mem_Amp,Mem_Watt,CPU0_Freq,CPU1_Freq,CPU2_Freq,CPU3_Freq,CPU4_Freq,CPU5_Freq,CPU6_Freq,CPU7_Freq,GPU_Freq,CPU4_Temp,CPU5_Temp,CPU6_Temp,CPU7_Temp,GPU_Temp,CPU0_USG,CPU1_USG,CPU2_USG,CPU3_USG,CPU4_USG,CPU5_USG,CPU6_USG,CPU7_USG,Fan_Speed_%
1466088127,1.236250,0.122976,0.150792,1.286250,0.894062,1.149684,0.993750,0.112176,0.111216,1.216250,0.015743,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,64,60,65,63,58,7,7,7,7,25,20,13,15,50
1466088128,1.237500,0.118767,0.145966,1.286250,0.889404,1.143254,0.992500,0.111416,0.110112,1.216250,0.015743,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,63,59,65,62,57,0,0,0,0,0,0,0,0,0
1466088129,1.237500,0.124745,0.153388,1.286250,0.964754,1.239704,0.993750,0.110504,0.109230,1.216250,0.017472,0.020672,1400,1400,1400,1400,2000,2000,2000,2000,600,63,59,64,62,57,1,0,0,0,0,0,0,0,0
1466088130,1.237500,0.114497,0.141018,1.285000,0.883102,1.134655,0.993750,0.110200,0.109230,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,63,59,64,62,57,0,0,0,0,0,0,0,0,0
1466088131,1.237500,0.117730,0.144729,1.285000,0.955712,1.227175,0.993750,0.109440,0.108237,1.216250,0.018291,0.021888,1400,1400,1400,1400,2000,2000,2000,2000,600,63,59,64,61,57,1,0,0,0,0,0,0,0,0
1466088132,1.237500,0.116022,0.143492,1.285000,0.877622,1.126945,0.993750,0.109288,0.108237,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,63,58,64,61,57,0,0,0,0,0,0,0,0,0
1466088133,1.236250,0.122732,0.150792,1.285000,0.919544,1.180915,0.993750,0.108680,0.107244,1.216250,0.018018,0.021888,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,64,61,57,1,0,0,0,0,0,0,0,0
1466088134,1.237500,0.116754,0.143492,1.285000,0.875156,1.124375,0.993750,0.108224,0.107244,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,0,0,0,0,0,0,0,0,0
1466088135,1.236250,0.120231,0.148320,1.286250,0.960096,1.234560,0.993750,0.107920,0.106251,1.216250,0.017290,0.020672,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,1,0,0,0,0,0,0,0,0
1466088136,1.237500,0.114741,0.141018,1.285000,0.872964,1.120520,0.993750,0.108528,0.107244,1.216250,0.015743,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,67,61,56,0,0,0,0,0,0,1,0,0
1466088137,1.236250,0.125233,0.154500,1.292500,2.102950,2.715784,0.993750,0.108984,0.107244,1.220000,0.073528,0.089060,1400,1400,1400,1400,2000,2000,2000,2000,600,65,62,78,68,57,1,0,0,0,0,0,92,0,0
1466088138,1.236250,0.129259,0.159444,1.297500,2.950432,3.826150,0.995000,0.111264,0.110445,1.222500,0.167531,0.204074,1400,1400,1400,1400,2000,2000,2000,2000,600,69,67,86,76,60,0,1,0,0,0,0,97,0,70
1466088139,1.235000,0.139995,0.171665,1.297500,3.104694,4.025888,0.993750,0.116280,0.115188,1.222500,0.169533,0.206518,1400,1400,1400,1400,2000,2000,2000,2000,600,72,69,89,79,62,1,0,0,0,0,0,100,0,70
1466088140,1.236250,0.137006,0.169332,1.298750,3.089350,4.009522,0.993750,0.119928,0.118167,1.222500,0.168987,0.205296,1400,1400,1400,1400,2000,2000,2000,2000,600,73,71,91,80,63,0,0,0,0,0,0,100,0,70
1466088141,1.236250,0.137982,0.169332,1.298750,3.176756,4.122448,0.995000,0.122968,0.121390,1.222500,0.170261,0.207740,1400,1400,1400,1400,2000,2000,2000,2000,600,74,72,92,82,64,2,0,0,0,0,0,100,0,70
1466088142,1.236250,0.142252,0.175512,1.288750,1.536866,1.978368,0.995000,0.125552,0.124375,1.222500,0.168987,0.205296,1400,1400,1400,1400,2000,2000,2000,2000,600,73,69,78,75,64,0,0,0,0,0,0,72,0,70
1466088143,1.237500,0.127978,0.157099,1.286250,0.994346,1.278284,0.993750,0.122208,0.121146,1.216250,0.016471,0.019456,1400,1400,1400,1400,2000,2000,2000,2000,600,69,65,71,69,62,1,0,0,0,0,0,0,0,70
1466088144,1.237500,0.123464,0.152151,1.286250,0.942012,1.211412,0.993750,0.118560,0.117174,1.216250,0.016016,0.019456,1400,1400,1400,1400,2000,2000,2000,2000,600,67,62,68,66,60,0,0,0,0,0,0,0,0,70
1466088145,1.236250,0.126270,0.155736,1.286250,0.917900,1.179262,0.993750,0.116280,0.115188,1.216250,0.018473,0.021888,1400,1400,1400,1400,2000,2000,2000,2000,600,66,61,67,65,59,1,0,0,0,1,0,0,0,70
1466088146,1.2375
