Timestamp,Volt,Amp,Watt,Watt-Hour
1466089150,5.000,0.717,3.580,0.000
1466089151,5.000,0.738,3.687,0.000
1466089152,5.000,0.714,3.564,0.000
1466089153,5.000,0.714,3.568,0.000
1466089154,5.000,0.712,3.557,0.000
1466089155,5.000,0.738,3.687,0.000
1466089156,5.000,0.710,3.549,0.000
1466089157,5.000,0.726,3.626,0.000
1466089158,5.000,0.709,3.542,0.000
1466089159,5.000,0.726,3.629,0.000
1466089160,5.000,0.709,3.545,0.000
1466089161,5.000,1.237,6.168,0.000
1466089162,5.000,1.356,6.755,0.000
1466089163,5.000,1.346,6.706,0.000
1466089164,5.000,1.337,6.668,0.000
1466089165,5.000,1.413,7.038,0.000
1466089166,5.000,1.355,6.748,0.000
1466089167,5.000,1.422,7.084,0.000
1466089168,5.000,1.349,6.721,0.000
1466089169,5.000,1.373,6.839,0.000
1466089170,5.000,1.379,6.870,0.000
1466089171,5.000,1.425,7.099,0.000
1466089172,5.000,1.405,6.996,0.000
1466089173,5.000,1.395,6.950,0.000
1466089174,5.000,1.408,7.019,0.000
1466089175,5.000,1.370,6.824,0.000
1466089176,5.010,1.407,7.011,0.000
1466089177,5.010,1.395,6.950,0.000
1466089178,5.000,1.393,6.935,0.000
1466089179,5.000,1.379,6.870,0.000
1466089180,5.000,1.402,6.984,0.000
1466089181,5.000,1.411,7.026,0.000
1466089182,5.000,1.374,6.851,0.000
1466089183,5.000,1.417,7.053,0.000
1466089184,5.000,1.370,6.828,0.000
1466089185,5.000,1.405,6.996,0.000
1466089186,5.000,1.361,6.782,0.000
1466089187,5.000,1.389,6.923,0.000
1466089188,5.000,1.371,6.832,0.000
1466089189,5.000,1.401,6.981,0.000
1466089190,5.000,1.407,7.007,0.000
1466089191,5.000,1.379,6.870,0.000
1466089192,5.000,1.386,6.908,0.000
1466089193,5.000,1.359,6.774,0.000
1466089194,5.000,1.402,6.984,0.000
1466089195,5.000,1.364,6.794,0.000
1466089196,5.000,1.391,6.927,0.000
1466089197,5.000,1.360,6.778,0.000
1466089198,5.000,1.399,6.965,0.000
1466089199,5.000,1.399,6.969,0.000
1466089200,5.000,1.385,6.904,0.000
1466089201,5.000,1.373,6.839,0.000
1466089202,5.000,1.356,6.755,0.000
1466089203,5.000,1.403,6.984,0.000
1466089204,5.000,1.386,6.900,0.000
1466089205,5.000,1.387,6.912,0.000
1466089206,5.000,1.353,6.740,0.000
1466089207,5.000,1.359,6.767,0.000
1466089208,5.000,1.400,6.973,0.000
1466089209,5.000,1.382,6.885,0.000
1466089210,5.000,1.359,6.771,0.000
1466089211,5.000,1.356,6.759,0.000
1466089212,5.000,1.397,6.958,0.000
1466089213,5.000,1.371,6.828,0.000
1466089214,5.000,1.389,6.919,0.000
1466089215,5.000,1.354,6.748,0.000
1466089216,5.000,1.396,6.950,0.000
1466089217,5.000,1.382,6.881,0.000
1466089218,5.000,1.383,6.889,0.000
1466089219,5.000,1.356,6.755,0.000
1466089220,5.000,1.347,6.713,0.000
1466089221,5.000,1.391,6.927,0.000
1466089222,5.000,1.378,6.862,0.000
1466089223,5.000,1.387,6.908,0.000
1466089224,5.000,1.350,6.729,0.000
1466089225,5.000,1.366,6.805,0.000
1466089226,5.000,1.376,6.855,0.000
1466089227,5.000,1.381,6.877,0.000
1466089228,5.000,1.393,6.939,0.000
1466089229,5.000,1.350,6.725,0.000
1466089230,5.000,1.389,6.919,0.000
1466089231,5.000,1.354,6.744,0.000
1466089232,5.000,1.386,6.900,0.000
1466089233,5.000,1.344,6.698,0.000
1466089234,5.000,1.392,6.935,0.000
1466089235,5.000,1.365,6.797,0.000
1466089236,5.000,1.381,6.881,0.000
1466089237,5.000,1.342,6.687,0.000
1466089238,5.000,1.355,6.748,0.000
1466089239,5.000,1.382,6.885,0.000
1466089240,5.000,1.374,6.843,0.000
1466089241,5.000,1.383,6.889,0.000
1466089242,5.000,1.346,6.706,0.000
1466089243,5.000,1.374,6.843,0.000
1466089244,5.000,1.359,6.771,0.000
1466089245,5.000,1.378,6.862,0.000
1466089246,5.000,1.416,7.053,0.000
1466089247,5.000,1.355,6.752,0.000
1466089248,5.000,1.369,6.820,0.000
1466089249,5.000,1.345,6.698,0.000
1466089250,5.000,1.412,7.034,0.000
1466089251,5.000,1.342,6.687,0.000
1466089252,5.000,1.396,6.954,0.000
1466089253,5.000,1.347,6.710,0.000
1466089254,5.000,1.386,6.904,0.000
1466089255,5.000,1.338,6.668,0.000
1466089256,5.000,1.393,6.939,0.000
1466089257,5.000,1.362,6.786,0.000
1466089258,5.000,1.374,6.851,0.000
1466089259,5.000,1.383,6.889,0.000
1466089260,5.000,1.372,6.832,0.000
1466089261,5.000,1.377,6.862,0.000
1466089262,5.000,1.357,6.759,0.000
1466089263,5.000,1.370,6.824,0.000
1466089264,5.000,1.395,6.946,0.000
1466089265,5.000,1.359,6.771,0.000
