Timestamp,Volt,Amp,Watt,Watt-Hour
1466088206,5.000,0.736,3.675,0.000
1466088207,5.000,0.706,3.530,0.000
1466088208,5.000,0.706,3.530,0.000
1466088209,5.000,0.706,3.526,0.000
1466088210,5.000,0.721,3.606,0.000
1466088211,5.000,0.706,3.526,0.000
1466088212,5.000,0.704,3.519,0.000
1466088213,5.000,0.704,3.519,0.000
1466088214,5.000,0.705,3.522,0.000
1466088215,5.000,0.704,3.519,0.000
1466088216,5.010,0.704,3.519,0.000
1466088217,5.000,2.365,11.729,0.000
1466088218,5.000,2.627,13.023,0.000
1466088219,5.000,2.471,12.244,0.000
1466088220,5.000,2.506,12.420,0.000
1466088221,5.000,0.997,4.977,0.000
1466088222,5.000,0.919,4.587,0.000
1466088223,5.000,0.892,4.454,0.000
1466088224,5.000,0.877,4.381,0.000
1466088225,5.000,0.870,4.347,0.000
1466088226,5.000,0.864,4.313,0.000
1466088227,5.000,0.858,4.286,0.000
1466088228,5.000,0.716,3.576,0.000
1466088229,5.000,0.715,3.576,0.000
1466088230,5.000,0.713,3.561,0.000
