Timestamp,A7_Volt,A7_Amp,A7_Watt,A15_Volt,A15_Amp,A15_Watt,GPU_Volt,GPU_Amp,GPU_Watt,Mem_Volt,Mem_Amp,Mem_Watt,CPU0_Freq,CPU1_Freq,CPU2_Freq,CPU3_Freq,CPU4_Freq,CPU5_Freq,CPU6_Freq,CPU7_Freq,GPU_Freq,CPU4_Temp,CPU5_Temp,CPU6_Temp,CPU7_Temp,GPU_Temp,CPU0_USG,CPU1_USG,CPU2_USG,CPU3_USG,CPU4_USG,CPU5_USG,CPU6_USG,CPU7_USG,Fan_Speed_%
1466089348,1.237500,0.107726,0.132359,1.285000,0.829946,1.065265,0.993750,0.099560,0.098307,1.216250,0.014742,0.017024,1400,1400,1400,1400,2000,2000,2000,2000,600,58,54,59,56,52,6,7,7,7,27,22,16,17,0
1466089349,1.237500,0.107726,0.132359,1.285000,0.829124,1.065265,0.993750,0.099256,0.098307,1.216250,0.015015,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,58,54,59,56,52,0,0,0,0,0,0,0,0,0
1466089350,1.237500,0.109007,0.134833,1.285000,0.829124,1.065265,0.993750,0.099256,0.098307,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,58,54,59,56,52,0,0,0,0,1,0,0,0,0
1466089351,1.237500,0.108214,0.133596,1.285000,0.828850,1.063980,0.993750,0.098952,0.097314,1.216250,0.015015,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,58,54,59,56,52,0,0,0,0,0,0,0,0,0
1466089352,1.237500,0.107238,0.132359,1.285000,0.831042,1.067835,0.993750,0.098952,0.097314,1.216250,0.015015,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,58,53,59,56,52,0,0,0,1,0,0,0,0,0
1466089353,1.237500,0.108763,0.133596,1.285000,0.829124,1.065265,0.993750,0.098952,0.097314,1.216250,0.015015,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,58,53,59,56,52,0,0,0,0,0,0,0,0,0
1466089354,1.237500,0.106994,0.131122,1.285000,0.829398,1.065265,0.993750,0.098952,0.097314,1.216250,0.015015,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,58,54,59,56,52,0,0,0,0,0,0,0,0,0
1466089355,1.237500,0.105774,0.129885,1.285000,0.829672,1.065265,0.993750,0.098952,0.097314,1.216250,0.015015,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,58,53,59,56,52,0,0,0,0,0,0,0,0,0
1466089356,1.237500,0.108519,0.133596,1.285000,0.829672,1.065265,0.993750,0.098952,0.097314,1.216250,0.016289,0.019456,1400,1400,1400,1400,2000,2000,2000,2000,600,58,54,59,56,52,0,0,0,1,0,0,0,0,0
1466089357,1.237500,0.109251,0.134833,1.285000,0.830220,1.066550,0.993750,0.098952,0.097314,1.216250,0.015015,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,58,54,61,59,52,0,0,0,0,0,0,0,0,0
1466089358,1.236250,0.120475,0.148320,1.296250,2.999752,3.886704,0.995000,0.101536,0.100495,1.218750,0.237692,0.288666,1400,1400,1400,1400,2000,2000,2000,2000,600,65,60,76,75,55,0,0,0,1,0,95,95,0,70
