Timestamp,Volt,Amp,Watt,Watt-Hour
1466085335,5.010,0.685,3.423,0.000
1466085336,5.000,0.685,3.423,0.000
1466085337,5.000,0.684,3.419,0.000
1466085338,5.000,0.684,3.419,0.000
1466085339,5.000,0.684,3.423,0.000
1466085340,5.010,0.684,3.419,0.000
1466085341,5.000,0.685,3.427,0.000
1466085342,5.000,0.684,3.419,0.000
1466085343,5.000,0.684,3.423,0.000
1466085344,5.000,0.684,3.419,0.000
1466085345,5.000,0.685,3.423,0.000
1466085346,5.000,1.584,7.893,0.000
1466085347,5.000,1.771,8.809,0.000
1466085348,5.000,1.757,8.740,0.000
1466085349,5.000,1.788,8.893,0.000
1466085350,5.000,1.764,8.774,0.000
1466085351,5.000,1.753,8.721,0.000
1466085352,5.000,1.819,9.045,0.000
1466085353,5.000,1.806,8.981,0.000
1466085354,5.000,1.853,9.221,0.000
1466085355,5.000,1.783,8.866,0.000
1466085356,5.000,1.839,9.141,0.000
1466085357,5.000,1.820,9.053,0.000
1466085358,5.000,1.851,9.202,0.000
1466085359,5.000,1.793,8.916,0.000
1466085360,5.000,1.811,9.007,0.000
1466085361,5.000,1.817,9.030,0.000
1466085362,5.000,1.812,9.007,0.000
1466085363,5.000,1.860,9.252,0.000
1466085364,5.000,1.816,9.030,0.000
1466085365,5.000,1.859,9.244,0.000
1466085366,5.000,1.810,9.000,0.000
1466085367,5.000,1.867,9.278,0.000
1466085368,5.000,1.836,9.129,0.000
1466085369,5.000,1.884,9.370,0.000
1466085370,5.000,1.811,9.003,0.000
1466085371,5.000,1.868,9.290,0.000
1466085372,5.000,1.823,9.065,0.000
1466085373,5.000,1.884,9.366,0.000
1466085374,5.000,1.831,9.103,0.000
1466085375,5.000,1.860,9.244,0.000
1466085376,5.000,1.833,9.118,0.000
1466085377,5.000,1.899,9.439,0.000
1466085378,5.000,1.862,9.255,0.000
1466085379,5.000,1.864,9.271,0.000
1466085380,5.000,1.820,9.045,0.000
1466085381,5.000,1.839,9.145,0.000
1466085382,5.000,1.853,9.213,0.000
1466085383,5.000,1.840,9.149,0.000
1466085384,5.000,1.901,9.458,0.000
1466085385,5.000,1.834,9.118,0.000
1466085386,5.000,1.870,9.294,0.000
1466085387,5.010,1.852,9.206,0.000
1466085388,5.000,1.895,9.420,0.000
1466085389,5.000,1.854,9.217,0.000
1466085390,5.000,1.843,9.164,0.000
1466085391,5.000,1.859,9.248,0.000
1466085392,5.000,1.872,9.309,0.000
1466085393,5.000,1.887,9.378,0.000
1466085394,5.000,1.839,9.141,0.000
1466085395,5.000,1.861,9.252,0.000
1466085396,5.000,1.844,9.168,0.000
1466085397,5.000,1.887,9.381,0.000
1466085398,5.000,1.846,9.183,0.000
1466085399,5.000,1.875,9.316,0.000
1466085400,5.000,1.828,9.087,0.000
1466085401,5.000,1.845,9.454,0.000
1466085402,5.000,1.861,9.252,0.000
1466085403,5.000,1.890,9.393,0.000
1466085404,5.000,1.892,9.400,0.000
1466085405,5.000,1.846,9.179,0.000
1466085406,5.000,1.857,9.229,0.000
1466085407,5.000,1.841,9.156,0.000
1466085408,5.000,1.882,9.355,0.000
1466085409,5.000,1.854,9.213,0.000
1466085410,5.000,1.905,9.465,0.000
1466085411,5.000,1.834,9.118,0.000
1466085412,5.000,1.883,9.358,0.000
1466085413,5.000,1.868,9.286,0.000
1466085414,5.000,1.912,9.504,0.000
1466085415,5.000,1.842,9.160,0.000
1466085416,5.000,1.869,9.294,0.000
1466085417,5.000,1.836,9.129,0.000
1466085418,5.000,1.902,9.454,0.000
1466085419,5.000,1.835,9.118,0.000
1466085420,5.000,1.877,9.336,0.000
1466085421,5.000,1.836,9.129,0.000
1466085422,5.000,1.851,9.198,0.000
1466085423,5.000,1.861,9.248,0.000
1466085424,5.000,1.883,9.358,0.000
1466085425,5.000,1.905,9.469,0.000
1466085426,5.000,1.836,9.126,0.000
1466085427,5.000,1.873,9.309,0.000
1466085428,5.000,1.844,9.168,0.000
1466085429,5.000,1.903,9.462,0.000
1466085430,5.000,1.843,9.164,0.000
1466085431,5.000,1.908,9.481,0.000
1466085432,5.000,1.850,9.198,0.000
1466085433,5.000,1.892,9.404,0.000
1466085434,5.000,1.880,9.343,0.000
1466085435,5.000,1.893,9.408,0.000
1466085436,5.000,1.851,9.198,0.000
1466085437,5.000,1.896,9.427,0.000
1466085438,5.000,1.886,9.374,0.000
1466085439,5.000,1.885,9.370,0.000
1466085440,5.000,1.837,9.133,0.000
1466085441,5.000,1.855,9.221,0.000
1466085442,5.000,1.869,9.290,0.000
1466085443,5.000,1.870,9.297,0.000
1466085444,5.000,1.899,9.442,0.000
1466085445,5.000,1.860,9.244,0.000
1466085446,5.000,1.894,9.416,0.000
1466085447,5.000,1.857,9.229,0.000
1466085448,5.000,1.903,9.458,0.000
1466085449,5.000,1.879,9.336,0.000
1466085450,5.000,1.902,9.450,0.000
1466085451,5.010,1.872,9.305,0.000
1466085452,5.000,1.856,9.225,0.000
1466085453,5.000,1.920,9.542,0.000
1466085454,5.000,1.884,9.366,0.000
1466085455,5.000,1.944,9.660,0.000
1466085456,5.000,1.847,9.183,0.000
1466085457,5.000,1.914,9.515,0.000
1466085458,5.010,1.859,9.240,0.000
1466085459,5.000,1.925,9.565,0.000
1466085460,5.000,1.688,8.397,0.000
1466085461,5.000,0.925,4.622,0.000
1466085462,5.000,0.884,4.416,0.000
1466085463,5.000,0.871,4.351,0.000
1466085464,5.000,0.861,4.301,0.000
1466085465,5.000,0.865,4.320,0.000
1466085466,5.000,0.716,3.576,0.000
1466085467,5.000,0.731,3.656,0.000
1466085468,5.000,0.709,3.542,0.000
1466085469,5.000,0.714,3.564,0.000
