Timestamp,Volt,Amp,Watt,Watt-Hour
1466083955,5.000,0.715,3.576,0.000
1466083956,5.000,0.702,3.515,0.000
1466083957,5.000,0.725,3.626,0.000
1466083958,5.000,0.702,3.507,0.000
1466083959,5.000,0.705,3.526,0.000
1466083960,5.000,0.700,3.503,0.000
1466083961,5.000,0.711,3.557,0.000
1466083962,5.000,0.700,3.503,0.000
1466083963,5.000,0.715,3.576,0.000
1466083964,5.000,0.702,3.511,0.000
1466083965,5.000,0.701,3.507,0.000
1466083966,5.000,1.961,9.752,0.000
1466083967,5.000,2.231,11.080,0.000
1466083968,5.000,2.276,11.301,0.000
1466083969,5.000,2.314,11.492,0.000
1466083970,5.000,2.120,10.530,0.000
1466083971,5.000,0.920,4.595,0.000
1466083972,5.000,0.885,4.423,0.000
1466083973,5.000,0.869,4.343,0.000
1466083974,5.010,0.862,4.309,0.000
1466083975,5.000,0.854,4.267,0.000
1466083976,5.000,0.850,4.244,0.000
1466083977,5.000,0.713,3.564,0.000
1466083978,5.000,0.710,3.549,0.000
1466083979,5.010,0.708,3.542,0.000
