Timestamp,Volt,Amp,Watt,Watt-Hour
1466083929,5.000,0.702,3.511,0.000
1466083930,5.000,0.702,3.511,0.000
1466083931,5.000,0.702,3.515,0.000
1466083932,5.000,0.701,3.503,0.000
1466083933,5.000,0.702,3.511,0.000
1466083934,5.000,0.722,3.614,0.000
1466083935,5.000,0.701,3.507,0.000
1466083936,5.000,0.715,3.576,0.000
1466083937,5.000,0.701,3.507,0.000
1466083938,5.000,0.702,3.515,0.000
1466083939,5.000,0.700,3.500,0.000
1466083940,5.000,2.681,13.294,0.000
1466083941,5.000,2.869,14.210,0.000
1466083942,5.000,2.427,12.042,0.000
1466083943,5.000,0.960,4.793,0.000
1466083944,5.000,0.894,4.465,0.000
1466083945,5.000,0.874,4.366,0.000
1466083946,5.000,0.866,4.328,0.000
1466083947,5.000,0.857,4.282,0.000
1466083948,5.000,0.868,4.335,0.000
1466083949,5.000,0.848,4.240,0.000
1466083950,5.000,0.710,3.549,0.000
1466083951,5.010,0.708,3.542,0.000
1466083952,5.000,0.706,3.534,0.000
