Timestamp,Volt,Amp,Watt,Watt-Hour
1466083903,5.000,0.712,3.564,0.000
1466083904,5.000,0.702,3.511,0.000
1466083905,5.000,0.703,3.515,0.000
1466083906,5.000,0.701,3.507,0.000
1466083907,5.000,0.702,3.511,0.000
1466083908,5.000,0.701,3.507,0.000
1466083910,5.000,0.701,3.507,0.000
1466083911,5.010,0.701,3.503,0.000
1466083912,5.010,0.739,3.694,0.000
1466083913,5.010,0.701,3.507,0.000
1466083914,5.000,0.718,3.591,0.000
1466083915,5.000,2.037,10.126,0.000
1466083916,5.000,2.081,10.343,0.000
1466083917,5.000,2.130,10.584,0.000
1466083918,5.000,0.948,4.736,0.000
1466083919,5.000,0.875,4.370,0.000
1466083920,5.000,0.857,4.282,0.000
1466083921,5.000,0.847,4.232,0.000
1466083922,5.000,0.842,4.206,0.000
1466083923,5.000,0.838,4.190,0.000
1466083924,5.000,0.836,4.175,0.000
1466083925,5.000,0.709,3.545,0.000
1466083926,5.000,0.706,3.530,0.000
1466083927,5.000,0.703,3.519,0.000
