Timestamp,Volt,Amp,Watt,Watt-Hour
1466085118,5.000,0.853,4.255,0.000
1466085119,5.000,0.833,4.160,0.000
1466085120,5.000,0.845,4.221,0.000
1466085121,5.000,0.831,4.148,0.000
1466085122,5.000,0.710,3.549,0.000
1466085123,5.000,0.708,3.538,0.000
1466085124,5.000,0.719,3.595,0.000
1466085125,5.000,0.706,3.526,0.000
1466085126,5.000,0.706,3.530,0.000
1466085127,5.000,0.705,3.522,0.000
1466085128,5.000,0.706,3.526,0.000
1466085129,5.000,1.163,5.797,0.000
1466085130,5.000,1.318,6.565,0.000
1466085131,5.000,1.316,6.561,0.000
1466085132,5.000,1.377,6.858,0.000
1466085133,5.000,1.382,6.881,0.000
1466085134,5.000,1.344,6.698,0.000
1466085135,5.000,1.377,6.858,0.000
1466085136,5.000,1.410,7.023,0.000
1466085137,5.000,1.358,6.767,0.000
1466085138,5.000,1.372,6.836,0.000
1466085139,5.000,1.378,6.866,0.000
1466085140,5.000,1.397,6.958,0.000
1466085141,5.000,1.376,6.855,0.000
1466085142,5.000,1.390,6.927,0.000
1466085143,5.000,1.394,6.942,0.000
1466085144,5.000,1.410,7.026,0.000
1466085145,5.010,1.354,6.748,0.000
1466085146,5.000,1.417,7.057,0.000
1466085147,5.000,1.343,6.690,0.000
1466085148,5.000,1.354,6.748,0.000
1466085149,5.000,1.400,6.973,0.000
1466085150,5.010,1.347,6.710,0.000
1466085151,5.000,1.341,6.683,0.000
1466085152,5.000,1.422,7.084,0.000
1466085153,5.000,1.361,6.782,0.000
1466085154,5.000,1.362,6.790,0.000
1466085155,5.000,1.398,6.965,0.000
1466085156,5.000,1.419,7.068,0.000
1466085157,5.000,1.360,6.774,0.000
1466085158,5.000,1.414,7.045,0.000
1466085159,5.000,1.399,6.969,0.000
1466085160,5.000,1.390,6.927,0.000
1466085161,5.000,1.367,6.809,0.000
1466085162,5.000,1.407,7.011,0.000
1466085163,5.000,1.381,6.877,0.000
1466085164,5.000,1.373,6.839,0.000
1466085165,5.000,1.369,6.820,0.000
1466085166,5.000,1.407,7.011,0.000
1466085167,5.000,1.332,6.637,0.000
1466085168,5.000,1.372,6.836,0.000
1466085169,5.000,1.390,6.923,0.000
1466085170,5.000,1.353,6.740,0.000
1466085171,5.000,1.396,6.954,0.000
1466085172,5.000,1.412,7.038,0.000
1466085173,5.000,1.339,6.671,0.000
1466085174,5.000,1.416,7.053,0.000
1466085175,5.000,1.393,6.946,0.000
1466085176,5.000,1.376,6.858,0.000
1466085177,5.000,1.341,6.679,0.000
1466085178,5.000,1.407,7.007,0.000
1466085179,5.000,1.366,6.805,0.000
1466085180,5.000,1.356,6.755,0.000
1466085181,5.000,1.380,6.874,0.000
1466085182,5.000,1.402,6.984,0.000
1466085183,5.000,1.368,6.816,0.000
1466085184,5.000,1.381,6.881,0.000
1466085186,5.000,1.385,6.904,0.000
1466085187,5.000,1.379,6.870,0.000
1466085188,5.000,1.346,6.706,0.000
1466085189,5.000,1.404,6.992,0.000
1466085190,5.000,1.383,6.893,0.000
1466085191,5.000,1.343,6.690,0.000
1466085192,5.000,1.391,6.931,0.000
1466085193,5.000,1.382,6.885,0.000
1466085194,5.000,1.327,6.614,0.000
1466085195,5.000,1.407,7.015,0.000
1466085196,5.000,1.387,6.736,0.000
1466085197,5.000,1.350,6.729,0.000
1466085198,5.000,1.385,6.900,0.000
1466085199,5.000,1.389,6.919,0.000
1466085200,5.000,1.354,6.748,0.000
1466085201,5.000,1.392,6.935,0.000
1466085202,5.000,1.384,6.897,0.000
1466085203,5.000,1.358,6.771,0.000
1466085204,5.000,1.355,6.752,0.000
1466085205,5.000,1.365,6.805,0.000
1466085206,5.000,1.376,6.858,0.000
1466085207,5.000,1.363,6.790,0.000
1466085208,5.000,1.354,6.748,0.000
1466085209,5.010,1.376,6.858,0.000
1466085210,5.000,1.320,6.576,0.000
1466085211,5.000,1.330,6.629,0.000
1466085212,5.000,1.373,6.843,0.000
1466085213,5.000,1.332,6.637,0.000
1466085214,5.000,1.311,6.534,0.000
1466085215,5.000,1.374,6.847,0.000
1466085216,5.000,1.374,6.843,0.000
1466085217,5.000,1.312,6.538,0.000
1466085218,5.010,1.377,6.862,0.000
1466085219,5.000,1.352,6.740,0.000
1466085220,5.000,1.319,6.572,0.000
1466085221,5.000,1.372,6.839,0.000
1466085222,5.000,1.349,6.721,0.000
1466085223,5.000,1.336,6.660,0.000
1466085224,5.000,1.362,6.786,0.000
1466085225,5.000,1.365,6.801,0.000
1466085226,5.000,1.347,6.713,0.000
1466085227,5.000,1.345,6.706,0.000
1466085228,5.000,1.368,6.813,0.000
1466085229,5.000,1.359,6.771,0.000
1466085230,5.010,1.333,6.641,0.000
