Timestamp,Volt,Amp,Watt,Watt-Hour
1466087596,5.000,0.715,3.572,0.000
1466087597,5.010,0.716,3.576,0.000
1466087598,5.010,0.712,3.557,0.000
1466087599,5.010,0.713,3.561,0.000
1466087600,5.000,0.712,3.557,0.000
1466087601,5.000,0.711,3.553,0.000
1466087602,5.000,0.711,3.553,0.000
1466087603,5.000,0.710,3.545,0.000
1466087604,5.000,0.709,3.542,0.000
1466087605,5.000,0.709,3.545,0.000
1466087606,5.000,0.709,3.542,0.000
1466087607,5.000,1.851,9.202,0.000
1466087608,5.000,2.291,11.366,0.000
1466087609,5.000,2.240,11.118,0.000
1466087610,5.000,2.424,12.019,0.000
1466087611,5.000,2.196,10.897,0.000
1466087613,5.000,2.220,11.015,0.000
1466087614,5.000,2.224,11.034,0.000
1466087615,5.000,2.185,10.843,0.000
1466087616,5.000,2.085,10.343,0.000
1466087617,5.000,2.224,11.038,0.000
1466087618,5.000,2.200,10.908,0.000
1466087619,5.000,1.996,9.908,0.000
1466087620,5.000,2.221,11.015,0.000
1466087621,5.010,2.106,10.454,0.000
1466087622,5.000,2.083,10.339,0.000
1466087623,5.000,1.956,9.713,0.000
1466087624,5.000,1.981,9.832,0.000
1466087625,5.000,2.138,10.610,0.000
1466087626,5.000,2.234,11.084,0.000
1466087627,5.000,2.161,10.725,0.000
1466087628,5.000,2.182,10.824,0.000
1466087629,5.000,2.120,10.523,0.000
1466087630,5.000,2.220,11.011,0.000
1466087631,5.000,2.134,10.591,0.000
1466087632,5.000,2.201,10.916,0.000
1466087633,5.000,2.010,9.984,0.000
1466087634,5.000,2.054,10.194,0.000
1466087635,5.010,2.040,10.126,0.000
1466087636,5.000,2.020,10.019,0.000
1466087637,5.000,1.979,9.832,0.000
1466087638,5.000,2.197,10.897,0.000
1466087639,5.000,2.101,10.427,0.000
1466087640,5.000,2.057,10.202,0.000
1466087641,5.000,2.008,9.969,0.000
1466087642,5.000,2.122,10.526,0.000
1466087643,5.000,1.967,9.763,0.000
1466087644,5.000,2.171,10.771,0.000
1466087645,5.000,1.992,9.893,0.000
1466087646,5.000,2.199,10.912,0.000
1466087647,5.000,2.148,10.656,0.000
1466087648,5.000,2.070,10.271,0.000
1466087649,5.010,1.993,9.893,0.000
1466087650,5.000,2.022,10.030,0.000
1466087651,5.000,1.984,9.847,0.000
1466087652,5.000,2.147,10.652,0.000
1466087653,5.000,2.105,10.454,0.000
1466087654,5.000,2.086,10.358,0.000
1466087655,5.000,1.952,9.702,0.000
1466087656,5.010,2.144,10.629,0.000
1466087657,5.000,2.048,10.164,0.000
1466087658,5.000,2.085,10.343,0.000
1466087659,5.000,2.096,10.404,0.000
1466087660,5.000,2.138,10.614,0.000
1466087661,5.000,2.015,10.004,0.000
1466087662,5.010,2.161,10.725,0.000
1466087663,5.000,2.159,10.713,0.000
1466087664,5.010,2.142,10.622,0.000
1466087665,5.000,2.188,10.851,0.000
1466087666,5.000,2.152,10.679,0.000
1466087667,5.000,2.102,10.431,0.000
1466087668,5.010,2.006,9.950,0.000
1466087669,5.000,2.196,10.900,0.000
1466087670,5.010,2.146,10.652,0.000
1466087671,5.000,2.009,9.981,0.000
1466087672,5.010,2.102,10.427,0.000
1466087673,5.010,1.988,9.870,0.000
1466087674,5.000,2.062,10.233,0.000
1466087675,5.000,2.197,10.900,0.000
1466087676,5.000,2.072,10.282,0.000
1466087677,5.000,2.028,10.065,0.000
1466087678,5.000,2.031,10.076,0.000
1466087679,5.000,2.147,10.656,0.000
1466087680,5.000,2.022,10.030,0.000
1466087681,5.000,1.951,9.683,0.000
1466087682,5.000,2.091,10.370,0.000
1466087683,5.000,2.006,9.954,0.000
1466087684,5.000,2.185,10.836,0.000
1466087685,5.000,2.188,10.855,0.000
1466087686,5.000,1.952,9.683,0.000
1466087687,5.010,2.075,10.301,0.000
1466087688,5.000,2.024,10.042,0.000
1466087689,5.000,2.123,10.530,0.000
1466087690,5.000,2.198,10.900,0.000
1466087691,5.000,2.033,10.091,0.000
1466087692,5.000,1.920,9.538,0.000
1466087693,5.000,2.049,10.175,0.000
1466087694,5.000,2.102,10.427,0.000
1466087695,5.000,2.056,10.202,0.000
1466087696,5.000,2.265,11.236,0.000
1466087697,5.010,2.111,10.477,0.000
1466087698,5.000,2.078,10.309,0.000
1466087699,5.000,2.010,9.973,0.000
1466087700,5.000,2.222,11.015,0.000
1466087701,5.000,2.050,10.171,0.000
1466087702,5.000,2.164,10.736,0.000
1466087703,5.000,2.082,10.339,0.000
1466087704,5.000,2.166,10.744,0.000
1466087705,5.000,1.986,9.858,0.000
1466087706,5.000,2.100,10.420,0.000
1466087707,5.000,1.937,9.618,0.000
1466087708,5.000,2.221,11.019,0.000
1466087709,5.000,2.043,10.149,0.000
1466087710,5.000,2.131,10.576,0.000
1466087711,5.000,2.012,9.988,0.000
1466087712,5.000,2.210,10.958,0.000
1466087713,5.000,1.977,9.816,0.000
1466087714,5.010,2.114,10.488,0.000
1466087715,5.000,1.957,9.717,0.000
1466087716,5.000,2.213,10.977,0.000
1466087717,5.000,2.050,10.171,0.000
1466087718,5.000,1.999,9.920,0.000
1466087719,5.000,2.052,10.187,0.000
1466087720,5.000,1.956,9.702,0.000
1466087721,5.000,1.963,9.744,0.000
